.000	.000	.332	.000
.000	.004	.332	.000
.033	.005	.332	.136
.067	.011	.326	.182
.100	.015	.324	.177
.133	.022	.323	.263
.167	.032	.321	.316
.200	.043	.318	.379
.233	.056	.314	.442
.267	.071	.310	.498
.300	.089	.306	.558
.333	.107	.301	.617
.367	.128	.295	.672
.400	.150	.289	.734
.433	.175	.281	.789
.467	.201	.273	.908
.500	.231	.259	1.024
.533	.263	.246	1.061
.567	.297	.231	1.144
.600	.334	.216	1.227
.633	.373	.202	1.282
.667	.415	.192	1.342
.700	.461	.185	1.378
.733	.507	.183	1.375
.767	.553	.185	1.359
.800	.597	.189	1.335
.833	.641	.196	1.303
.867	.683	.205	1.256
.900	.723	.214	1.198
.933	.761	.222	1.144
.967	.798	.229	1.109
1.000	.834	.234	1.076
1.033	.869	.238	1.059
1.067	.904	.239	1.059
1.100	.939	.239	1.045
1.133	.974	.240	.991
1.167	1.004	.228	1.062
1.200	1.041	.219	1.173
1.233	1.080	.208	1.230
1.267	1.120	.197	1.333
1.300	1.167	.191	1.412
1.333	1.213	.183	1.392
1.367	1.260	.182	1.373
1.400	1.305	.182	1.373
1.430   1.350   .180    1.386
1.460   1.400   .180    1.383
